LocationDesc,Sales_to_Minors_Prohibited,Minimum Age,Effective
Alabama,Prohibits e-cigarette sales to minors,21,8/1/2021
Alaska,Prohibits e-cigarette sales to minors,19,8/22/2012
American Samoa,Does not prohibit e-cigarette sales to minors,No Provision,N/A
Arizona,Prohibits e-cigarette sales to minors,18,9/13/2013
Arkansas,Prohibits e-cigarette sales to minors,21,12/31/2021
California,Prohibits e-cigarette sales to minors,21,6/9/2016
Colorado,Prohibits e-cigarette sales to minors,21,7/14/2020
Connecticut,Prohibits e-cigarette sales to minors,21,10/1/2019
Delaware,Prohibits e-cigarette sales to minors,21,7/16/2019
District of Columbia,Prohibits e-cigarette sales to minors,21,11/29/2016
Florida,Prohibits e-cigarette sales to minors,21,10/1/2021
Georgia,Prohibits e-cigarette sales to minors,21,7/22/2020
Guam,Prohibits e-cigarette sales to minors,21,1/1/2018
Hawaii,Prohibits e-cigarette sales to minors,21,1/1/2016
Idaho,Prohibits e-cigarette sales to minors,21,7/1/2022
Illinois,Prohibits e-cigarette sales to minors,21,7/1/2019
Indiana,Prohibits e-cigarette sales to minors,21,7/1/2020
Iowa,Prohibits e-cigarette sales to minors,21,6/29/2020
Kansas,Prohibits e-cigarette sales to minors,21,7/1/2023
Kentucky,Prohibits e-cigarette sales to minors,21,3/26/2020
Louisiana,Prohibits e-cigarette sales to minors,21,8/1/2021
Maine,Prohibits e-cigarette sales to minors,21,7/1/2021
Marshall Islands,Does not prohibit e-cigarette sales to minors,No Provision,N/A
Maryland,Prohibits e-cigarette sales to minors,21,10/1/2019
Massachusetts,Prohibits e-cigarette sales to minors,21,12/31/2021
Michigan,Prohibits e-cigarette sales to minors,21,7/21/2022
Minnesota,Prohibits e-cigarette sales to minors,21,8/1/2020
Mississippi,Prohibits e-cigarette sales to minors,21,7/8/2020
Missouri,Prohibits e-cigarette sales to minors,18,10/10/2014
Montana,Prohibits e-cigarette sales to minors,18,1/1/2016
Nebraska,Prohibits e-cigarette sales to minors,21,8/15/2020
Nevada,Prohibits e-cigarette sales to minors,21,5/27/2021
New Hampshire,Prohibits e-cigarette sales to minors,21,7/29/2020
New Jersey,Prohibits e-cigarette sales to minors,21,11/1/2017
New Mexico,Prohibits e-cigarette sales to minors,21,1/1/2021
New York,Prohibits e-cigarette sales to minors,21,11/13/2019
North Carolina,Prohibits e-cigarette sales to minors,18,8/1/2013
North Dakota,Prohibits e-cigarette sales to minors,21,3/31/2021
Northern Marianas,Prohibits e-cigarette sales to minors,21,1/21/2021
Ohio,Prohibits e-cigarette sales to minors,21,10/17/2022
Oklahoma,Prohibits e-cigarette sales to minors,21,5/19/2020
Oregon,Prohibits e-cigarette sales to minors,21,1/1/2018
Palau,Prohibits e-cigarette sales to minors,21,6/6/2013
Pennsylvania,Prohibits e-cigarette sales to minors,21,7/1/2020
Puerto Rico,Prohibits e-cigarette sales to minors,18,3/27/2015
Rhode Island,Prohibits e-cigarette sales to minors,21,7/7/2021
South Carolina,Prohibits e-cigarette sales to minors,18,6/7/2013
South Dakota,Prohibits e-cigarette sales to minors,21,7/1/2020
Tennessee,Prohibits e-cigarette sales to minors,21,1/1/2021
Texas,Prohibits e-cigarette sales to minors,21,8/31/2022
Utah,Prohibits e-cigarette sales to minors,21,7/1/2020
Vermont,Prohibits e-cigarette sales to minors,21,9/1/2019
Virgin Islands,Prohibits e-cigarette sales to minors,18,N/A
Virginia,Prohibits e-cigarette sales to minors,21,7/1/2019
Washington,Prohibits e-cigarette sales to minors,21,1/1/2020
West Virginia,Prohibits e-cigarette sales to minors,21,6/7/2024
Wisconsin,Prohibits e-cigarette sales to minors,18,4/20/2012
Wyoming,Prohibits e-cigarette sales to minors,21,7/1/2020